Epoch Number, Total Squared Error, 
0, 0.148116, 
1, 0.133607, 
2, 0.108295, 
3, 0.107642, 
4, 0.107614, 
5, 0.107576, 
6, 0.107535, 
7, 0.107495, 
8, 0.107458, 
9, 0.107422, 
10, 0.107388, 
11, 0.107355, 
12, 0.107324, 
13, 0.107294, 
14, 0.107265, 
15, 0.107238, 
16, 0.107211, 
17, 0.107185, 
18, 0.107160, 
19, 0.107136, 
20, 0.107112, 
21, 0.107089, 
22, 0.107067, 
23, 0.107045, 
24, 0.107024, 
25, 0.107003, 
26, 0.106983, 
27, 0.106963, 
28, 0.106943, 
29, 0.106924, 
30, 0.106905, 
31, 0.106887, 
32, 0.106868, 
33, 0.106850, 
34, 0.106832, 
35, 0.106814, 
36, 0.106796, 
37, 0.106779, 
38, 0.106761, 
39, 0.106744, 
40, 0.106727, 
41, 0.106709, 
42, 0.106692, 
43, 0.106675, 
44, 0.106658, 
45, 0.106640, 
46, 0.106623, 
47, 0.106606, 
48, 0.106588, 
49, 0.106571, 
50, 0.106553, 
51, 0.106535, 
52, 0.106517, 
53, 0.106499, 
54, 0.106481, 
55, 0.106462, 
56, 0.106444, 
57, 0.106425, 
58, 0.106406, 
59, 0.106386, 
60, 0.106366, 
61, 0.106346, 
62, 0.106326, 
63, 0.106305, 
64, 0.106284, 
65, 0.106263, 
66, 0.106241, 
67, 0.106218, 
68, 0.106196, 
69, 0.106173, 
70, 0.106149, 
71, 0.106125, 
72, 0.106100, 
73, 0.106075, 
74, 0.106049, 
75, 0.106023, 
76, 0.105996, 
77, 0.105968, 
78, 0.105940, 
79, 0.105911, 
80, 0.105882, 
81, 0.105852, 
82, 0.105821, 
83, 0.105789, 
84, 0.105757, 
85, 0.105723, 
86, 0.105690, 
87, 0.105655, 
88, 0.105619, 
89, 0.105583, 
90, 0.105546, 
91, 0.105508, 
92, 0.105469, 
93, 0.105430, 
94, 0.105389, 
95, 0.105348, 
96, 0.105306, 
97, 0.105263, 
98, 0.105219, 
99, 0.105175, 
100, 0.105130, 
101, 0.105084, 
102, 0.105037, 
103, 0.104990, 
104, 0.104942, 
105, 0.104893, 
106, 0.104844, 
107, 0.104794, 
108, 0.104744, 
109, 0.104693, 
110, 0.104642, 
111, 0.104590, 
112, 0.104538, 
113, 0.104486, 
114, 0.104433, 
115, 0.104380, 
116, 0.104328, 
117, 0.104275, 
118, 0.104222, 
119, 0.104169, 
120, 0.104116, 
121, 0.104063, 
122, 0.104011, 
123, 0.103959, 
124, 0.103907, 
125, 0.103855, 
126, 0.103803, 
127, 0.103752, 
128, 0.103702, 
129, 0.103651, 
130, 0.103601, 
131, 0.103552, 
132, 0.103503, 
133, 0.103455, 
134, 0.103407, 
135, 0.103359, 
136, 0.103313, 
137, 0.103266, 
138, 0.103220, 
139, 0.103175, 
140, 0.103130, 
141, 0.103086, 
142, 0.103042, 
143, 0.102999, 
144, 0.102956, 
145, 0.102914, 
146, 0.102872, 
147, 0.102831, 
148, 0.102790, 
149, 0.102750, 
150, 0.102710, 
151, 0.102670, 
152, 0.102631, 
153, 0.102592, 
154, 0.102554, 
155, 0.102515, 
156, 0.102478, 
157, 0.102440, 
158, 0.102403, 
159, 0.102367, 
160, 0.102330, 
161, 0.102294, 
162, 0.102258, 
163, 0.102223, 
164, 0.102188, 
165, 0.102153, 
166, 0.102118, 
167, 0.102084, 
168, 0.102050, 
169, 0.102016, 
170, 0.101982, 
171, 0.101949, 
172, 0.101916, 
173, 0.101883, 
174, 0.101851, 
175, 0.101818, 
176, 0.101786, 
177, 0.101755, 
178, 0.101723, 
179, 0.101692, 
180, 0.101661, 
181, 0.101630, 
182, 0.101599, 
183, 0.101569, 
184, 0.101539, 
185, 0.101509, 
186, 0.101480, 
187, 0.101451, 
188, 0.101422, 
189, 0.101393, 
190, 0.101365, 
191, 0.101337, 
192, 0.101309, 
193, 0.101281, 
194, 0.101254, 
195, 0.101227, 
196, 0.101200, 
197, 0.101174, 
198, 0.101148, 
199, 0.101122, 
200, 0.101097, 
201, 0.101072, 
202, 0.101047, 
203, 0.101022, 
204, 0.100998, 
205, 0.100974, 
