Epoch Number, Total Squared Error, 
0, 0.171850, 
1, 0.167823, 
2, 0.167157, 
3, 0.166850, 
4, 0.166473, 
5, 0.166091, 
6, 0.165704, 
7, 0.165306, 
8, 0.164891, 
9, 0.164456, 
10, 0.163996, 
11, 0.163511, 
12, 0.163000, 
13, 0.162464, 
14, 0.161905, 
15, 0.161329, 
16, 0.160743, 
17, 0.160155, 
18, 0.159574, 
19, 0.159010, 
20, 0.158472, 
21, 0.157967, 
22, 0.157501, 
23, 0.157078, 
24, 0.156698, 
25, 0.156361, 
26, 0.156065, 
27, 0.155806, 
28, 0.155580, 
29, 0.155383, 
30, 0.155212, 
31, 0.155062, 
32, 0.154931, 
33, 0.154814, 
34, 0.154709, 
35, 0.154613, 
36, 0.154524, 
37, 0.154440, 
38, 0.154360, 
39, 0.154282, 
40, 0.154205, 
41, 0.154128, 
42, 0.154051, 
43, 0.153974, 
44, 0.153895, 
45, 0.153814, 
46, 0.153731, 
47, 0.153647, 
48, 0.153560, 
49, 0.153472, 
50, 0.153381, 
51, 0.153289, 
52, 0.153195, 
53, 0.153098, 
54, 0.153001, 
55, 0.152901, 
56, 0.152800, 
57, 0.152697, 
58, 0.152594, 
59, 0.152489, 
60, 0.152382, 
61, 0.152275, 
62, 0.152167, 
63, 0.152058, 
64, 0.151948, 
65, 0.151838, 
66, 0.151727, 
67, 0.151615, 
68, 0.151503, 
69, 0.151389, 
70, 0.151276, 
71, 0.151162, 
72, 0.151047, 
73, 0.150931, 
74, 0.150815, 
75, 0.150697, 
76, 0.150580, 
77, 0.150461, 
78, 0.150341, 
79, 0.150220, 
80, 0.150099, 
81, 0.149976, 
82, 0.149852, 
83, 0.149728, 
84, 0.149602, 
85, 0.149475, 
86, 0.149346, 
87, 0.149217, 
88, 0.149087, 
89, 0.148955, 
90, 0.148823, 
91, 0.148689, 
92, 0.148555, 
93, 0.148419, 
94, 0.148283, 
95, 0.148146, 
96, 0.148009, 
97, 0.147871, 
98, 0.147732, 
99, 0.147593, 
100, 0.147453, 
101, 0.147313, 
102, 0.147173, 
103, 0.147033, 
104, 0.146892, 
105, 0.146751, 
106, 0.146610, 
107, 0.146469, 
108, 0.146328, 
109, 0.146188, 
110, 0.146047, 
111, 0.145906, 
112, 0.145765, 
113, 0.145624, 
114, 0.145483, 
115, 0.145343, 
116, 0.145202, 
117, 0.145061, 
118, 0.144921, 
119, 0.144781, 
120, 0.144640, 
121, 0.144500, 
122, 0.144360, 
123, 0.144219, 
124, 0.144079, 
125, 0.143939, 
126, 0.143798, 
127, 0.143658, 
128, 0.143518, 
129, 0.143377, 
130, 0.143237, 
131, 0.143096, 
132, 0.142955, 
133, 0.142814, 
134, 0.142673, 
135, 0.142532, 
136, 0.142391, 
137, 0.142249, 
138, 0.142107, 
139, 0.141966, 
140, 0.141824, 
141, 0.141681, 
142, 0.141539, 
143, 0.141396, 
144, 0.141254, 
145, 0.141111, 
146, 0.140967, 
147, 0.140824, 
148, 0.140681, 
149, 0.140537, 
150, 0.140394, 
151, 0.140250, 
152, 0.140106, 
153, 0.139962, 
154, 0.139819, 
155, 0.139675, 
156, 0.139531, 
157, 0.139387, 
158, 0.139244, 
159, 0.139101, 
160, 0.138957, 
161, 0.138815, 
162, 0.138672, 
163, 0.138530, 
164, 0.138388, 
165, 0.138246, 
166, 0.138105, 
167, 0.137965, 
168, 0.137825, 
