Epoch Number, Total Squared Error, 
0, 0.101859, 
1, 0.094143, 
2, 0.092176, 
3, 0.091973, 
4, 0.091791, 
5, 0.091624, 
6, 0.091467, 
7, 0.091321, 
8, 0.091184, 
9, 0.091054, 
10, 0.090930, 
11, 0.090812, 
12, 0.090700, 
13, 0.090591, 
14, 0.090486, 
15, 0.090385, 
16, 0.090286, 
17, 0.090190, 
18, 0.090096, 
19, 0.090004, 
20, 0.089914, 
21, 0.089824, 
22, 0.089737, 
23, 0.089650, 
24, 0.089564, 
25, 0.089478, 
26, 0.089394, 
27, 0.089309, 
28, 0.089225, 
29, 0.089141, 
30, 0.089058, 
31, 0.088974, 
32, 0.088891, 
33, 0.088807, 
34, 0.088724, 
35, 0.088640, 
36, 0.088557, 
37, 0.088473, 
38, 0.088389, 
39, 0.088305, 
40, 0.088222, 
41, 0.088138, 
42, 0.088054, 
43, 0.087970, 
44, 0.087887, 
45, 0.087803, 
46, 0.087720, 
47, 0.087637, 
48, 0.087555, 
49, 0.087473, 
50, 0.087391, 
51, 0.087310, 
52, 0.087230, 
53, 0.087150, 
54, 0.087071, 
55, 0.086994, 
56, 0.086917, 
57, 0.086841, 
58, 0.086766, 
59, 0.086693, 
60, 0.086621, 
61, 0.086550, 
62, 0.086480, 
63, 0.086412, 
64, 0.086345, 
65, 0.086279, 
66, 0.086215, 
67, 0.086153, 
68, 0.086092, 
69, 0.086032, 
70, 0.085974, 
71, 0.085917, 
72, 0.085862, 
73, 0.085808, 
74, 0.085755, 
75, 0.085703, 
76, 0.085653, 
77, 0.085604, 
78, 0.085556, 
79, 0.085509, 
80, 0.085463, 
81, 0.085418, 
82, 0.085375, 
83, 0.085331, 
84, 0.085289, 
85, 0.085248, 
86, 0.085207, 
87, 0.085167, 
88, 0.085127, 
89, 0.085088, 
90, 0.085050, 
91, 0.085012, 
92, 0.084975, 
93, 0.084938, 
94, 0.084901, 
95, 0.084865, 
96, 0.084829, 
97, 0.084793, 
98, 0.084758, 
99, 0.084723, 
100, 0.084688, 
101, 0.084653, 
102, 0.084619, 
103, 0.084584, 
104, 0.084550, 
105, 0.084517, 
106, 0.084483, 
107, 0.084449, 
108, 0.084416, 
109, 0.084382, 
110, 0.084349, 
111, 0.084316, 
112, 0.084283, 
113, 0.084250, 
114, 0.084218, 
115, 0.084185, 
116, 0.084152, 
117, 0.084120, 
118, 0.084087, 
119, 0.084055, 
120, 0.084023, 
121, 0.083991, 
122, 0.083959, 
123, 0.083927, 
124, 0.083895, 
125, 0.083863, 
126, 0.083831, 
127, 0.083799, 
128, 0.083767, 
129, 0.083736, 
130, 0.083704, 
131, 0.083673, 
132, 0.083641, 
133, 0.083610, 
134, 0.083579, 
135, 0.083548, 
136, 0.083516, 
137, 0.083485, 
138, 0.083454, 
139, 0.083423, 
140, 0.083392, 
141, 0.083361, 
142, 0.083330, 
143, 0.083300, 
144, 0.083269, 
145, 0.083238, 
146, 0.083208, 
147, 0.083177, 
148, 0.083147, 
149, 0.083116, 
150, 0.083086, 
151, 0.083056, 
152, 0.083025, 
153, 0.082995, 
154, 0.082965, 
155, 0.082935, 
156, 0.082905, 
157, 0.082875, 
158, 0.082845, 
159, 0.082815, 
