Epoch Number, Total Squared Error, 
0, 0.145924, 
1, 0.126686, 
2, 0.125990, 
3, 0.125623, 
4, 0.125264, 
5, 0.124935, 
6, 0.124629, 
7, 0.124342, 
8, 0.124068, 
9, 0.123803, 
10, 0.123545, 
11, 0.123291, 
12, 0.123041, 
13, 0.122793, 
14, 0.122546, 
15, 0.122301, 
16, 0.122057, 
17, 0.121814, 
18, 0.121573, 
19, 0.121334, 
20, 0.121097, 
21, 0.120864, 
22, 0.120635, 
23, 0.120410, 
24, 0.120189, 
25, 0.119973, 
26, 0.119762, 
27, 0.119556, 
28, 0.119355, 
29, 0.119158, 
30, 0.118966, 
31, 0.118778, 
32, 0.118593, 
33, 0.118413, 
34, 0.118236, 
35, 0.118063, 
36, 0.117893, 
37, 0.117726, 
38, 0.117564, 
39, 0.117405, 
40, 0.117250, 
41, 0.117099, 
42, 0.116952, 
43, 0.116811, 
44, 0.116674, 
45, 0.116542, 
46, 0.116416, 
47, 0.116295, 
48, 0.116180, 
49, 0.116070, 
50, 0.115966, 
51, 0.115867, 
52, 0.115774, 
53, 0.115685, 
54, 0.115601, 
55, 0.115522, 
56, 0.115447, 
57, 0.115376, 
58, 0.115308, 
59, 0.115244, 
60, 0.115183, 
61, 0.115124, 
62, 0.115067, 
63, 0.115013, 
64, 0.114961, 
65, 0.114910, 
66, 0.114861, 
67, 0.114812, 
68, 0.114765, 
69, 0.114719, 
70, 0.114673, 
71, 0.114628, 
72, 0.114584, 
73, 0.114540, 
74, 0.114497, 
75, 0.114453, 
76, 0.114410, 
77, 0.114367, 
78, 0.114325, 
79, 0.114282, 
80, 0.114240, 
81, 0.114198, 
82, 0.114155, 
83, 0.114113, 
84, 0.114071, 
85, 0.114028, 
86, 0.113986, 
87, 0.113943, 
88, 0.113901, 
89, 0.113858, 
90, 0.113815, 
91, 0.113772, 
92, 0.113729, 
93, 0.113686, 
94, 0.113642, 
95, 0.113599, 
96, 0.113555, 
97, 0.113511, 
98, 0.113467, 
99, 0.113423, 
100, 0.113378, 
101, 0.113334, 
102, 0.113289, 
103, 0.113243, 
104, 0.113198, 
105, 0.113153, 
106, 0.113107, 
107, 0.113061, 
108, 0.113014, 
109, 0.112968, 
110, 0.112921, 
111, 0.112874, 
112, 0.112827, 
113, 0.112779, 
114, 0.112732, 
115, 0.112684, 
116, 0.112636, 
117, 0.112587, 
118, 0.112538, 
119, 0.112490, 
120, 0.112440, 
121, 0.112391, 
122, 0.112341, 
123, 0.112292, 
124, 0.112242, 
125, 0.112191, 
126, 0.112141, 
127, 0.112090, 
128, 0.112039, 
129, 0.111988, 
130, 0.111937, 
131, 0.111885, 
132, 0.111833, 
133, 0.111781, 
134, 0.111729, 
135, 0.111676, 
136, 0.111623, 
137, 0.111570, 
138, 0.111517, 
139, 0.111464, 
140, 0.111410, 
141, 0.111356, 
142, 0.111302, 
143, 0.111248, 
144, 0.111193, 
145, 0.111138, 
146, 0.111083, 
147, 0.111027, 
148, 0.110972, 
149, 0.110916, 
150, 0.110859, 
151, 0.110803, 
152, 0.110746, 
153, 0.110689, 
154, 0.110631, 
155, 0.110573, 
156, 0.110515, 
157, 0.110457, 
158, 0.110398, 
159, 0.110339, 
160, 0.110279, 
161, 0.110219, 
162, 0.110159, 
163, 0.110099, 
164, 0.110037, 
165, 0.109976, 
166, 0.109914, 
167, 0.109852, 
168, 0.109789, 
169, 0.109726, 
170, 0.109663, 
171, 0.109599, 
172, 0.109535, 
173, 0.109470, 
174, 0.109405, 
175, 0.109340, 
176, 0.109274, 
177, 0.109207, 
178, 0.109141, 
179, 0.109074, 
180, 0.109006, 
181, 0.108939, 
182, 0.108871, 
183, 0.108802, 
184, 0.108734, 
185, 0.108665, 
186, 0.108596, 
187, 0.108527, 
188, 0.108457, 
189, 0.108388, 
190, 0.108318, 
191, 0.108248, 
192, 0.108179, 
193, 0.108109, 
194, 0.108039, 
195, 0.107969, 
196, 0.107900, 
197, 0.107830, 
198, 0.107761, 
199, 0.107692, 
200, 0.107623, 
201, 0.107554, 
202, 0.107486, 
203, 0.107418, 
204, 0.107350, 
205, 0.107283, 
206, 0.107217, 
207, 0.107151, 
208, 0.107085, 
209, 0.107020, 
210, 0.106955, 
211, 0.106891, 
212, 0.106828, 
213, 0.106765, 
214, 0.106703, 
215, 0.106642, 
216, 0.106581, 
217, 0.106522, 
218, 0.106462, 
219, 0.106404, 
220, 0.106346, 
221, 0.106289, 
222, 0.106233, 
223, 0.106178, 
224, 0.106123, 
225, 0.106069, 
226, 0.106016, 
227, 0.105964, 
228, 0.105912, 
229, 0.105862, 
230, 0.105812, 
231, 0.105763, 
232, 0.105714, 
233, 0.105667, 
234, 0.105620, 
235, 0.105574, 
236, 0.105529, 
237, 0.105484, 
238, 0.105441, 
239, 0.105398, 
240, 0.105355, 
241, 0.105314, 
242, 0.105273, 
243, 0.105234, 
244, 0.105194, 
245, 0.105156, 
246, 0.105118, 
247, 0.105081, 
248, 0.105045, 
249, 0.105009, 
250, 0.104974, 
251, 0.104940, 
252, 0.104906, 
253, 0.104873, 
254, 0.104841, 
255, 0.104810, 
256, 0.104779, 
257, 0.104748, 
258, 0.104718, 
259, 0.104689, 
260, 0.104660, 
261, 0.104632, 
262, 0.104605, 
263, 0.104578, 
264, 0.104551, 
265, 0.104525, 
266, 0.104500, 
267, 0.104475, 
268, 0.104451, 
269, 0.104427, 
270, 0.104403, 
271, 0.104380, 
272, 0.104357, 
273, 0.104335, 
274, 0.104313, 
275, 0.104291, 
276, 0.104270, 
277, 0.104249, 
278, 0.104229, 
279, 0.104209, 
280, 0.104189, 
281, 0.104169, 
282, 0.104150, 
283, 0.104131, 
284, 0.104113, 
285, 0.104094, 
286, 0.104076, 
287, 0.104058, 
288, 0.104041, 
289, 0.104024, 
290, 0.104006, 
291, 0.103990, 
292, 0.103973, 
293, 0.103956, 
294, 0.103940, 
295, 0.103924, 
296, 0.103908, 
297, 0.103893, 
298, 0.103877, 
299, 0.103862, 
300, 0.103847, 
301, 0.103832, 
302, 0.103817, 
303, 0.103802, 
304, 0.103788, 
305, 0.103774, 
306, 0.103759, 
307, 0.103745, 
308, 0.103732, 
309, 0.103718, 
310, 0.103704, 
311, 0.103691, 
312, 0.103677, 
313, 0.103664, 
314, 0.103651, 
315, 0.103638, 
316, 0.103625, 
317, 0.103613, 
318, 0.103600, 
319, 0.103588, 
320, 0.103575, 
321, 0.103563, 
322, 0.103551, 
323, 0.103539, 
324, 0.103527, 
325, 0.103516, 
326, 0.103504, 
327, 0.103492, 
328, 0.103481, 
329, 0.103470, 
330, 0.103458, 
331, 0.103447, 
332, 0.103436, 
333, 0.103425, 
334, 0.103415, 
335, 0.103404, 
336, 0.103393, 
337, 0.103383, 
338, 0.103372, 
339, 0.103362, 
340, 0.103352, 
341, 0.103342, 
342, 0.103332, 
343, 0.103322, 
344, 0.103312, 
345, 0.103302, 
346, 0.103292, 
347, 0.103283, 
348, 0.103273, 
349, 0.103264, 
350, 0.103254, 
351, 0.103245, 
352, 0.103236, 
353, 0.103226, 
354, 0.103217, 
355, 0.103208, 
356, 0.103199, 
357, 0.103191, 
358, 0.103182, 
359, 0.103173, 
360, 0.103165, 
361, 0.103156, 
362, 0.103147, 
363, 0.103139, 
364, 0.103131, 
365, 0.103122, 
366, 0.103114, 
367, 0.103106, 
368, 0.103098, 
369, 0.103090, 
370, 0.103082, 
371, 0.103074, 
372, 0.103066, 
373, 0.103058, 
374, 0.103051, 
375, 0.103043, 
376, 0.103035, 
