Epoch Number, Total Squared Error, 
0, 0.173056, 
1, 0.163921, 
2, 0.163370, 
3, 0.163160, 
4, 0.162994, 
5, 0.162838, 
6, 0.162686, 
7, 0.162535, 
8, 0.162379, 
9, 0.162218, 
10, 0.162048, 
11, 0.161868, 
12, 0.161677, 
13, 0.161473, 
14, 0.161257, 
15, 0.161027, 
16, 0.160785, 
17, 0.160529, 
18, 0.160263, 
19, 0.159986, 
20, 0.159700, 
21, 0.159408, 
22, 0.159112, 
23, 0.158815, 
24, 0.158519, 
25, 0.158229, 
26, 0.157946, 
27, 0.157673, 
28, 0.157413, 
29, 0.157168, 
30, 0.156939, 
31, 0.156727, 
32, 0.156532, 
33, 0.156354, 
34, 0.156192, 
35, 0.156046, 
36, 0.155915, 
37, 0.155797, 
38, 0.155690, 
39, 0.155594, 
40, 0.155507, 
41, 0.155428, 
42, 0.155354, 
43, 0.155286, 
44, 0.155223, 
45, 0.155162, 
46, 0.155105, 
47, 0.155049, 
48, 0.154995, 
49, 0.154942, 
50, 0.154890, 
51, 0.154839, 
52, 0.154788, 
53, 0.154738, 
54, 0.154687, 
55, 0.154637, 
56, 0.154587, 
57, 0.154537, 
58, 0.154488, 
59, 0.154438, 
60, 0.154388, 
61, 0.154339, 
62, 0.154289, 
63, 0.154240, 
64, 0.154191, 
65, 0.154142, 
66, 0.154093, 
67, 0.154044, 
68, 0.153995, 
69, 0.153947, 
70, 0.153899, 
71, 0.153851, 
72, 0.153803, 
73, 0.153755, 
74, 0.153707, 
75, 0.153660, 
76, 0.153613, 
77, 0.153565, 
78, 0.153518, 
79, 0.153471, 
80, 0.153424, 
81, 0.153376, 
82, 0.153329, 
83, 0.153281, 
84, 0.153234, 
85, 0.153186, 
86, 0.153138, 
87, 0.153090, 
88, 0.153041, 
89, 0.152992, 
90, 0.152943, 
91, 0.152893, 
92, 0.152842, 
93, 0.152791, 
94, 0.152739, 
95, 0.152687, 
96, 0.152633, 
97, 0.152579, 
98, 0.152523, 
99, 0.152467, 
100, 0.152409, 
101, 0.152350, 
102, 0.152290, 
103, 0.152228, 
104, 0.152165, 
105, 0.152100, 
106, 0.152033, 
107, 0.151965, 
108, 0.151894, 
109, 0.151822, 
110, 0.151747, 
111, 0.151671, 
112, 0.151592, 
113, 0.151511, 
114, 0.151427, 
115, 0.151341, 
116, 0.151252, 
117, 0.151161, 
118, 0.151068, 
119, 0.150972, 
120, 0.150873, 
121, 0.150772, 
122, 0.150668, 
123, 0.150562, 
124, 0.150453, 
125, 0.150342, 
126, 0.150228, 
127, 0.150113, 
128, 0.149995, 
129, 0.149875, 
130, 0.149753, 
131, 0.149630, 
132, 0.149505, 
133, 0.149378, 
134, 0.149250, 
135, 0.149120, 
136, 0.148990, 
137, 0.148859, 
138, 0.148726, 
139, 0.148593, 
140, 0.148460, 
141, 0.148326, 
142, 0.148192, 
143, 0.148057, 
144, 0.147922, 
145, 0.147788, 
146, 0.147653, 
147, 0.147519, 
148, 0.147385, 
149, 0.147251, 
150, 0.147118, 
151, 0.146985, 
152, 0.146853, 
153, 0.146721, 
154, 0.146590, 
155, 0.146459, 
156, 0.146330, 
157, 0.146201, 
158, 0.146072, 
159, 0.145945, 
160, 0.145818, 
161, 0.145692, 
162, 0.145567, 
163, 0.145443, 
164, 0.145320, 
165, 0.145197, 
166, 0.145076, 
167, 0.144955, 
168, 0.144836, 
169, 0.144717, 
170, 0.144599, 
171, 0.144483, 
172, 0.144367, 
173, 0.144252, 
174, 0.144138, 
175, 0.144025, 
176, 0.143913, 
177, 0.143802, 
178, 0.143692, 
179, 0.143583, 
180, 0.143475, 
181, 0.143368, 
182, 0.143261, 
183, 0.143156, 
184, 0.143051, 
185, 0.142947, 
186, 0.142843, 
187, 0.142741, 
188, 0.142639, 
189, 0.142537, 
190, 0.142436, 
191, 0.142336, 
192, 0.142236, 
193, 0.142137, 
194, 0.142038, 
195, 0.141939, 
196, 0.141840, 
197, 0.141742, 
198, 0.141644, 
199, 0.141546, 
200, 0.141448, 
201, 0.141350, 
202, 0.141252, 
203, 0.141154, 
204, 0.141056, 
205, 0.140958, 
206, 0.140860, 
207, 0.140761, 
208, 0.140663, 
209, 0.140564, 
210, 0.140465, 
211, 0.140365, 
212, 0.140266, 
213, 0.140166, 
214, 0.140066, 
215, 0.139966, 
216, 0.139866, 
217, 0.139766, 
218, 0.139666, 
219, 0.139566, 
220, 0.139466, 
221, 0.139366, 
222, 0.139267, 
223, 0.139168, 
224, 0.139069, 
225, 0.138971, 
226, 0.138873, 
227, 0.138776, 
228, 0.138680, 
229, 0.138585, 
230, 0.138490, 
231, 0.138397, 
232, 0.138305, 
233, 0.138215, 
234, 0.138125, 
235, 0.138037, 
236, 0.137951, 
237, 0.137866, 
238, 0.137782, 
239, 0.137701, 
240, 0.137621, 
241, 0.137542, 
242, 0.137466, 
243, 0.137391, 
244, 0.137318, 
245, 0.137246, 
246, 0.137176, 
247, 0.137108, 
248, 0.137042, 
249, 0.136977, 
250, 0.136913, 
251, 0.136851, 
252, 0.136790, 
253, 0.136731, 
254, 0.136673, 
255, 0.136617, 
256, 0.136561, 
257, 0.136506, 
258, 0.136453, 
259, 0.136401, 
260, 0.136349, 
261, 0.136298, 
262, 0.136248, 
263, 0.136199, 
264, 0.136151, 
265, 0.136103, 
266, 0.136056, 
267, 0.136010, 
268, 0.135963, 
269, 0.135918, 
270, 0.135873, 
271, 0.135828, 
272, 0.135784, 
273, 0.135741, 
274, 0.135697, 
275, 0.135655, 
276, 0.135612, 
277, 0.135570, 
278, 0.135528, 
