Epoch Number, Total Squared Error, 
0, 0.166966, 
1, 0.153568, 
2, 0.152723, 
3, 0.152440, 
4, 0.152199, 
5, 0.151979, 
6, 0.151769, 
7, 0.151562, 
8, 0.151354, 
9, 0.151141, 
10, 0.150920, 
11, 0.150690, 
12, 0.150450, 
13, 0.150199, 
14, 0.149938, 
15, 0.149667, 
16, 0.149386, 
17, 0.149098, 
18, 0.148803, 
19, 0.148505, 
20, 0.148204, 
21, 0.147902, 
22, 0.147601, 
23, 0.147303, 
24, 0.147008, 
25, 0.146719, 
26, 0.146435, 
27, 0.146158, 
28, 0.145889, 
29, 0.145629, 
30, 0.145379, 
31, 0.145140, 
32, 0.144914, 
33, 0.144701, 
34, 0.144502, 
35, 0.144317, 
36, 0.144148, 
37, 0.143993, 
38, 0.143852, 
39, 0.143725, 
40, 0.143610, 
41, 0.143507, 
42, 0.143413, 
43, 0.143327, 
44, 0.143248, 
45, 0.143174, 
46, 0.143105, 
47, 0.143038, 
48, 0.142974, 
49, 0.142910, 
50, 0.142847, 
51, 0.142783, 
52, 0.142718, 
53, 0.142652, 
54, 0.142585, 
55, 0.142515, 
56, 0.142444, 
57, 0.142371, 
58, 0.142295, 
59, 0.142217, 
60, 0.142137, 
61, 0.142054, 
62, 0.141969, 
63, 0.141882, 
64, 0.141792, 
65, 0.141701, 
66, 0.141607, 
67, 0.141511, 
68, 0.141412, 
69, 0.141312, 
70, 0.141209, 
71, 0.141104, 
72, 0.140998, 
73, 0.140889, 
74, 0.140779, 
75, 0.140667, 
76, 0.140553, 
77, 0.140437, 
78, 0.140320, 
79, 0.140202, 
80, 0.140082, 
81, 0.139961, 
82, 0.139839, 
83, 0.139716, 
84, 0.139592, 
85, 0.139468, 
86, 0.139343, 
87, 0.139218, 
88, 0.139092, 
89, 0.138966, 
90, 0.138841, 
91, 0.138715, 
92, 0.138590, 
93, 0.138465, 
94, 0.138341, 
95, 0.138218, 
96, 0.138095, 
97, 0.137973, 
98, 0.137852, 
99, 0.137732, 
100, 0.137613, 
101, 0.137496, 
102, 0.137379, 
103, 0.137264, 
104, 0.137151, 
105, 0.137039, 
106, 0.136928, 
107, 0.136819, 
108, 0.136711, 
109, 0.136605, 
110, 0.136500, 
111, 0.136397, 
112, 0.136296, 
113, 0.136196, 
114, 0.136097, 
115, 0.136001, 
116, 0.135905, 
117, 0.135812, 
118, 0.135719, 
119, 0.135628, 
120, 0.135539, 
121, 0.135451, 
122, 0.135364, 
123, 0.135279, 
124, 0.135194, 
125, 0.135111, 
126, 0.135029, 
127, 0.134948, 
128, 0.134869, 
129, 0.134790, 
130, 0.134711, 
131, 0.134634, 
132, 0.134557, 
133, 0.134482, 
134, 0.134406, 
135, 0.134332, 
136, 0.134257, 
137, 0.134184, 
138, 0.134110, 
139, 0.134037, 
140, 0.133964, 
141, 0.133892, 
142, 0.133819, 
143, 0.133747, 
144, 0.133675, 
145, 0.133603, 
146, 0.133531, 
147, 0.133459, 
148, 0.133387, 
